seed,plan_cost,exec_us,rows,query
325,15822,329,4,"SELECT markets.note AS c7216, books.price
FROM departments CROSS JOIN markets LEFT JOIN books ON markets.id = books.id
WHERE ((departments.id != 2 AND markets.note = 'Old World') AND (departments.id BETWEEN 1 AND 5 OR departments.id >= 41));"
326,1220,129,17,"SELECT t0.age
FROM users AS t0;"
327,6760,156,11,"SELECT t0.age
FROM users AS t0
GROUP BY t0.age
ORDER BY t0.age ASC;"
328,84498,84707,54310,"SELECT employees.department_id
FROM orders CROSS JOIN employees LEFT JOIN regions ON employees.id = regions.id
WHERE ((employees.id <= 25 OR orders.id NOT BETWEEN 47 AND 184) OR orders.id IS NULL);"
329,5680,195,3,"SELECT t0.id
FROM markets AS t0 JOIN users AS t1 ON t0.id = t1.id
WHERE (t0.id != 2 OR t0.id != 1)
ORDER BY t0.id ASC;"
330,11143,1166,0,"SELECT books.price, employees.id, COUNT(*)
FROM customers LEFT JOIN books ON customers.id = books.id FULL JOIN employees ON customers.id = employees.id
WHERE ((customers.id > 96 AND employees.department_id != 32) AND (employees.id > 5 OR books.id IS NOT NULL))
GROUP BY books.price, employees.id
ORDER BY books.price DESC, employees.id DESC;"
331,83620,1674673,50490,"SELECT t2.region_id, t2.id
FROM orders AS t0 CROSS JOIN regions AS t1 FULL JOIN customers AS t2 ON t1.id = t2.id;"
332,1610,145,10,"SELECT regions.id AS c7728
FROM regions
WHERE regions.id IS NOT NULL;"
333,22320,304862,6,"SELECT departments.id, COUNT(*)
FROM orders FULL JOIN departments ON orders.id = departments.id LEFT JOIN customers ON departments.id = customers.id
GROUP BY departments.id;"
334,1775,165,10,"SELECT regions.id AS c1480
FROM regions
WHERE regions.id IS NOT NULL
ORDER BY regions.id DESC;"
335,1133,144,0,"SELECT books.price, books.id
FROM books
WHERE (books.price < 44 AND (books.price IN (55, 55, 66, 66) AND books.price != 77))
ORDER BY books.price DESC, books.id DESC;"
336,1122,139,1,"SELECT t0.department_id
FROM employees AS t0
WHERE ((t0.department_id = 12 AND t0.department_id < 35) AND (t0.id IN (4) OR t0.department_id != 31));"
337,1488,156,10,"SELECT users.id, users.age
FROM users
WHERE users.age IN (1, 21, 33, 64);"
338,1732,149,9,"SELECT t0.id
FROM regions AS t0
WHERE ((t0.id NOT BETWEEN 1 AND 15 OR t0.id < 10) AND (t0.id <= 40 OR t0.id != 3));"
339,1610,151,1,"SELECT departments.id
FROM departments
WHERE ((departments.id <= 98 OR departments.id > 1) AND (departments.id IS NULL OR departments.id IN (3, 3, 30, 91)));"
340,12160,557,13,"SELECT customers.region_id AS c4276, markets.region AS c7002, COUNT(*), COUNT(*) AS c3968
FROM customers LEFT JOIN markets ON customers.id = markets.id
WHERE (markets.note = 'Fast lane' OR customers.id IS NOT NULL)
GROUP BY customers.region_id, markets.region;"
341,18070,391,3,"SELECT customers.id, SUM(customers.region_id)
FROM markets JOIN users ON markets.id = users.id RIGHT JOIN customers ON users.id = customers.id
GROUP BY customers.id;"
342,1122,140,0,"SELECT employees.department_id, employees.id
FROM employees
WHERE ((employees.id >= 66 OR employees.id != 2) AND (employees.id > 69 AND employees.department_id = 33));"
343,1660,145,17,"SELECT users.age
FROM users
ORDER BY users.age ASC;"
344,6110,278,3,"SELECT t1.price AS c605, t0.id AS c1651, t1.id
FROM regions AS t0 RIGHT JOIN books AS t1 ON t0.id = t1.id
WHERE (t1.id != 3 OR t1.id = 3);"
345,9660,441,3,"SELECT books.id, customers.id AS c5626
FROM books LEFT JOIN customers ON books.id = customers.id
ORDER BY customers.id DESC;"
346,84032,439,0,"SELECT t1.region, t2.id, COUNT(t1.id)
FROM employees AS t0 CROSS JOIN markets AS t1 FULL JOIN regions AS t2 ON t1.id = t2.id
WHERE t0.department_id = 36
GROUP BY t1.region, t2.id;"
347,9610,5218,0,"SELECT users.age AS c6973
FROM users RIGHT JOIN orders ON users.id = orders.id
WHERE users.id > 94;"
348,19356,1399,1187,"SELECT t1.id, t0.id
FROM departments AS t0 CROSS JOIN customers AS t1
WHERE ((t1.id BETWEEN 28 AND 146 AND t1.id IN (46, 50, 104, 146)) OR (t0.id < 4 AND t1.region_id NOT IN (2, 2, 10, 12)))
ORDER BY t1.id DESC;"
349,8825,280,5,"SELECT regions.id, departments.id AS c6050, COUNT(*), COUNT(*)
FROM regions RIGHT JOIN departments ON regions.id = departments.id
WHERE departments.id IS NOT NULL
GROUP BY regions.id, departments.id
ORDER BY departments.id ASC;"
350,14320,278,11,"SELECT employees.department_id, departments.id AS c3106, COUNT(*) AS c7893
FROM departments RIGHT JOIN employees ON departments.id = employees.id
GROUP BY employees.department_id, departments.id;"
351,83766,55158,261,"SELECT t0.customer_id, t2.id AS c6006, t2.age
FROM orders AS t0 CROSS JOIN departments AS t1 FULL JOIN users AS t2 ON t1.id = t2.id
WHERE (t1.id >= 3 AND (t0.id < 55 OR t0.id < 88));"
352,21794,3404,80,"SELECT t1.customer_id, t1.id, t0.id
FROM departments AS t0 CROSS JOIN orders AS t1
WHERE (t1.customer_id IN (426) OR (t1.customer_id IS NULL OR t0.id >= 57));"
353,1220,237,500,"SELECT t0.id, t0.region_id
FROM customers AS t0;"
354,2962,167,1,"SELECT t0.department_id, t0.id
FROM employees AS t0
WHERE (t0.department_id >= 31 AND (t0.department_id > 34 OR t0.id < 33))
GROUP BY t0.department_id, t0.id
ORDER BY t0.department_id DESC;"
355,1244,243,2,"SELECT customers.id, customers.region_id
FROM customers
WHERE customers.id IN (153, 183);"
356,17220,320,5,"SELECT employees.department_id, departments.id
FROM books LEFT JOIN employees ON books.id = employees.id FULL JOIN departments ON employees.id = departments.id;"
357,5424,3425,4914,"SELECT orders.id AS c1456, orders.customer_id, COUNT(*), COUNT(orders.customer_id)
FROM orders
WHERE (orders.id > 86 OR orders.customer_id IS NULL)
GROUP BY orders.id, orders.customer_id;"
358,4160,153,0,"SELECT t0.department_id, t0.id AS c8666, COUNT(*) AS c1170, COUNT(*)
FROM employees AS t0
WHERE t0.id IS NULL
GROUP BY t0.department_id, t0.id;"
359,6320,149,10,"SELECT regions.id, COUNT(regions.id) AS c1004, COUNT(regions.id) AS c9498
FROM regions
GROUP BY regions.id;"
360,1220,137,3,"SELECT t0.id, t0.note AS c1949, t0.region
FROM markets AS t0;"
361,649400,49930,11,"SELECT t2.department_id, COUNT(t2.id), SUM(t0.id)
FROM departments AS t0 CROSS JOIN orders AS t1 CROSS JOIN employees AS t2
GROUP BY t2.department_id;"
362,88720,780221,3,"SELECT markets.id AS c6682, markets.note AS c3493
FROM orders CROSS JOIN customers RIGHT JOIN markets ON customers.id = markets.id
GROUP BY markets.id, markets.note;"
363,1775,156,3,"SELECT books.price
FROM books
WHERE books.price IS NOT NULL
ORDER BY books.price DESC;"
364,1288,261,44,"SELECT customers.region_id AS c2372
FROM customers
WHERE customers.region_id IN (4, 89)
ORDER BY customers.region_id DESC;"
365,13135,2618,3,"SELECT t0.id AS c4468, t1.customer_id, t0.region
FROM markets AS t0 FULL JOIN orders AS t1 ON t0.id = t1.id JOIN customers AS t2 ON t0.id = t2.id
WHERE t0.id <= 17;"
366,1366,153,1,"SELECT users.id, users.age
FROM users
WHERE (users.id = 15 OR (users.id != 3 AND users.id IS NULL));"
367,1220,141,17,"SELECT t0.age
FROM users AS t0;"
368,21794,262,49,"SELECT t0.id, t1.age
FROM books AS t0 CROSS JOIN users AS t1
WHERE (t1.id = 96 OR (t1.age != 18 OR t0.price <= 61));"
369,3332,1069,0,"SELECT t0.id AS c4185, SUM(t0.id)
FROM markets AS t0 LEFT JOIN orders AS t1 ON t0.id = t1.id
WHERE ((t0.id BETWEEN 1 AND 7 OR t0.note != 'North, South') AND (t0.note != 'Old World' AND t0.note IN ('ASIA', 'Old World', 'unknown')))
GROUP BY t0.id;"
370,1610,145,2,"SELECT markets.note AS c2495, markets.id, markets.region
FROM markets
WHERE ((markets.note = 'North, South' AND markets.note != 'North, South') OR markets.note != 'Fast lane');"
371,14600,283,110,"SELECT regions.id
FROM regions CROSS JOIN employees;"
372,1930,1577,3214,"SELECT t0.id
FROM orders AS t0
WHERE (t0.id <= 95 OR t0.customer_id BETWEEN 55 AND 369)
ORDER BY t0.id DESC;"
373,6320,361,500,"SELECT customers.id, COUNT(customers.region_id)
FROM customers
GROUP BY customers.id;"
374,36830,5349,0,"SELECT orders.id AS c9907, COUNT(*) AS c8627
FROM departments CROSS JOIN orders
WHERE ((orders.id >= 79 OR orders.customer_id IN (63, 185, 226, 480)) AND departments.id IS NULL)
GROUP BY orders.id
ORDER BY orders.id ASC;"
375,1854,1405,4999,"SELECT t0.customer_id AS c3627, t0.id AS c1197
FROM orders AS t0
WHERE (t0.customer_id <= 56 OR t0.id > 1);"
376,18098,331,9,"SELECT t1.id, t0.id, t1.department_id
FROM regions AS t0 FULL JOIN employees AS t1 ON t0.id = t1.id FULL JOIN departments AS t2 ON t0.id = t2.id
WHERE t0.id NOT IN (3);"
377,1643,469,341,"SELECT customers.id, customers.region_id, SUM(customers.region_id), SUM(customers.id)
FROM customers
WHERE ((customers.region_id != 9 OR customers.id = 20) AND (customers.region_id >= 3 AND customers.id > 5))
GROUP BY customers.id, customers.region_id
ORDER BY customers.id DESC, customers.region_id ASC;"
378,6320,130,3,"SELECT markets.region, markets.id AS c5516
FROM markets
GROUP BY markets.region, markets.id;"
379,1220,117,11,"SELECT employees.department_id, employees.id
FROM employees;"
380,2494,2285,4329,"SELECT orders.customer_id
FROM orders
WHERE (orders.id < 86 OR (orders.customer_id IN (21, 71) OR orders.customer_id NOT BETWEEN 371 AND 436))
ORDER BY orders.customer_id ASC;"
381,18500,308,34,"SELECT t0.age AS c6869, t0.id
FROM users AS t0 CROSS JOIN markets AS t1
WHERE t1.note != 'Old World';"
382,6056,163,3,"SELECT t0.id AS c3548, t0.note, SUM(t0.id) AS c5991, COUNT(*)
FROM markets AS t0
WHERE ((t0.note IN ('Fast lane', 'Fast lane', 'Old World') OR t0.region = 'AMERICA') OR t0.id NOT IN (1, 2, 3))
GROUP BY t0.id, t0.note;"
383,178400,10350,8500,"SELECT customers.id, customers.region_id
FROM regions CROSS JOIN customers CROSS JOIN users
WHERE regions.id < 2;"
384,433400,370,9,"SELECT markets.id, books.id, COUNT(markets.id), COUNT(markets.id)
FROM regions CROSS JOIN books CROSS JOIN markets
WHERE regions.id != 5
GROUP BY markets.id, books.id;"
385,1366,133,0,"SELECT t0.id AS c9611, t0.age AS c4657
FROM users AS t0
WHERE ((t0.id >= 3 OR t0.id IS NULL) AND t0.age IS NULL);"
386,17220,2250,3,"SELECT markets.note, markets.region AS c394
FROM markets LEFT JOIN orders ON markets.id = orders.id LEFT JOIN employees ON orders.id = employees.id;"
387,2922,304,0,"SELECT employees.id AS c1393
FROM employees LEFT JOIN books ON employees.id = books.id
WHERE ((employees.id IS NULL AND books.id IS NOT NULL) AND (books.price = 55 AND employees.department_id = 12));"
388,14600,10525,25000,"SELECT orders.customer_id AS c3285
FROM orders CROSS JOIN departments;"
389,13135,2093,2,"SELECT employees.id AS c6990
FROM orders LEFT JOIN markets ON orders.id = markets.id JOIN employees ON orders.id = employees.id
WHERE markets.id < 3;"
390,22600,1888,5000,"SELECT markets.note AS c1438, customers.region_id, markets.id AS c7869
FROM customers LEFT JOIN markets ON customers.id = markets.id CROSS JOIN regions;"
391,14760,2533,5,"SELECT orders.customer_id AS c6961, departments.id
FROM departments LEFT JOIN orders ON departments.id = orders.id
GROUP BY orders.customer_id, departments.id
ORDER BY departments.id DESC;"
392,88055,535,11,"SELECT employees.department_id AS c8803, SUM(users.id), SUM(employees.id)
FROM users CROSS JOIN employees LEFT JOIN markets ON employees.id = markets.id
WHERE ((markets.id >= 18 OR users.id = 4) OR employees.id >= 2)
GROUP BY employees.department_id
ORDER BY employees.department_id ASC;"
393,13620,498913,384231,"SELECT orders.customer_id, customers.id
FROM orders CROSS JOIN customers
WHERE (orders.id IS NOT NULL AND (orders.customer_id <= 190 AND customers.region_id IN (1, 5, 8, 9)));"
394,1732,136,8,"SELECT t0.id
FROM employees AS t0
WHERE t0.department_id NOT IN (6, 11, 32, 94);"
395,14600,10322,15000,"SELECT orders.id, orders.customer_id, books.price AS c2061
FROM orders CROSS JOIN books;"
396,1610,148,0,"SELECT markets.region, markets.id, markets.note
FROM markets
WHERE markets.region IS NULL;"
397,6320,392,500,"SELECT t0.id, t0.region_id, SUM(t0.region_id)
FROM customers AS t0
GROUP BY t0.id, t0.region_id;"
398,4626,240,10,"SELECT regions.id, customers.id, customers.region_id
FROM regions JOIN customers ON regions.id = customers.id
WHERE (customers.id NOT BETWEEN 18 AND 150 OR regions.id IN (1, 9, 10, 63));"
399,4325,156,1,"SELECT departments.id AS c2818, COUNT(departments.id), COUNT(departments.id)
FROM departments
WHERE departments.id <= 1
GROUP BY departments.id
ORDER BY departments.id DESC;"
